Unnamed: 0,pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len,P3pp,P3_True,P3_len
62.0,escalaropt_missings,_TruncatedSVD,30,Camberra,977.263503074646,0.008992805755395683,5,556,0.20987654320987653,119,567,0.2293233082706767,61,266
63.0,escalaropt_missings,_TruncatedSVD,30,BrayCurtis,996.8190577030182,0.008992805755395683,5,556,0.20987654320987653,119,567,0.2293233082706767,61,266
64.0,escalaropt_missings,_TruncatedSVD,30,np_cossine,1058.9723563194277,0.008992805755395683,5,556,0.20987654320987653,119,567,0.2293233082706767,61,266
65.0,escalaropt_missings,_TruncatedSVD,50,Manhattan,1383.5868265628815,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2631578947368421,70,266
66.0,escalaropt_missings,_TruncatedSVD,50,scy_cossine,1092.193907737732,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2631578947368421,70,266
67.0,escalaropt_missings,_TruncatedSVD,50,Camberra,1109.2548990249634,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2631578947368421,70,266
68.0,escalaropt_missings,_TruncatedSVD,50,BrayCurtis,1033.9052460193634,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2631578947368421,70,266
69.0,escalaropt_missings,_TruncatedSVD,50,np_cossine,1015.2589190006256,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2631578947368421,70,266
70.0,escalaropt_missings,_TruncatedSVD,80,Manhattan,1494.7633128166199,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2631578947368421,70,266
71.0,escalaropt_missings,_TruncatedSVD,80,scy_cossine,1121.463677406311,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2631578947368421,70,266
72.0,escalaropt_missings,_TruncatedSVD,80,Camberra,1116.0615384578703,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2631578947368421,70,266
73.0,escalaropt_missings,_TruncatedSVD,80,BrayCurtis,1106.1378834247591,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2631578947368421,70,266
74.0,escalaropt_missings,_TruncatedSVD,80,np_cossine,1088.1672668457034,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2631578947368421,70,266
75.0,escalaropt_missings,_TruncatedSVD,100,Manhattan,1552.37153673172,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2593984962406015,69,266
76.0,escalaropt_missings,_TruncatedSVD,100,scy_cossine,1051.1165397167206,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2593984962406015,69,266
77.0,escalaropt_missings,_TruncatedSVD,100,Camberra,1006.0114593505859,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2593984962406015,69,266
78.0,escalaropt_missings,_TruncatedSVD,100,BrayCurtis,1003.002385377884,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2593984962406015,69,266
79.0,escalaropt_missings,_TruncatedSVD,100,np_cossine,993.4187290668488,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2593984962406015,69,266
80.0,escalaropt_missings,_TruncatedSVD,120,Manhattan,1633.4960148334505,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2556390977443609,68,266
